nombre,bodega,region,uva,precio,prices_old,like,valoracion,opinion,vinificacion
Circe Verdejo 2022,Bodegas Avelino Vegas,Rueda (España),Verdejo,"10,0",No descuento,24,"4,6",16,Vino blanco
Rafael Cambra Soplo 2021,Bodega Rafael Cambra,Valencia (España),Garnacha,"6,0",No descuento,54,"4,0",46,Vino tinto
Petit Almodí Negre 2022,Altavins,Terra Alta (España),Garnacha/ Cariñena/ Syrah,"5,7",No descuento,24,"4,6",10,Vino tinto
Lapola 2020,Dominio do Bibei,Ribeira Sacra (España),Doña blanca/ Godello,"23,0",No descuento,12,"4,1",8,Vino blanco
Hacienda Solano Viñas Viejas 2020,Hacienda Solano,Ribera del Duero (España),Tempranillo,"26,9",No descuento,45,"4,4",21,Vino tinto
La Planta 2022,Bodegas Arzuaga Navarro,Ribera del Duero (España),Tempranillo,"9,3",No descuento,62,"4,4",75,Vino tinto
Izadi Larrosa Negra 2020,Bodegas Izadi,Rioja (España),Garnacha,"9,0",No descuento,41,"4,6",9,Vino tinto
La Celestina Vendimia Seleccionada 2019,Atalayas de Golbán,Ribera del Duero (España),Tempranillo,"14,5",No descuento,24,"4,5",6,Vino tinto
4 Kilos 2021,4 Kilos Vinícola,Mallorca (España),Callet,"36,0",No descuento,89,"4,1",33,Vino tinto
Pere Ventura Tresor Brut Rosé,Caves Pere Ventura,DO Cava (España),Trepat,"18,0",No descuento,4,"4,0",3,Cava
Las Moradas de San Martín Albillo Real 2021,Viñedos de San Martín,Vinos de Madrid (España),Albillo,"13,2",No descuento,19,"4,7",7,Vino blanco
Godina 2020,Bodegas Morca,Campo de Borja (España),Garnacha,"19,9",No descuento,4,"5,0",5,Vino tinto
Castro Ventosa Valtuille Cepas Centenarias 2020,Bodegas y Viñedos Castro Ventosa,Bierzo (España),Mencía,"41,5",No descuento,23,"4,2",9,Vino tinto
Les Brugueres Blanc 2022,La Conreria de Scala Dei,Priorat (España),Garnacha blanca,"19,6",No descuento,23,"4,6",13,Vino blanco
Les Alcusses 2019,Celler del Roure,Valencia (España),Monastrell/ Syrah/ Merlot/ Cabernet sauvignon/ Tempranillo,"10,5",No descuento,11,"4,1",31,Vino tinto
Madremía 2020,Bodegas Divina Proporción,Toro (España),Tinta de Toro,"11,0",No descuento,21,"4,2",26,Vino tinto
Lafou El Sender 2020,Lafou Celler ,Terra Alta (España),Garnacha/ Syrah/ Morenillo,"11,8",No descuento,14,"4,3",9,Vino tinto
D'Iatra Gratallops Vi de Vila 2017,Cal Batllet,Priorat (España),Cariñena/ Garnacha/ Cabernet sauvignon/ Merlot/ Syrah,"18,4",No descuento,11,"4,6",8,Vino tinto
La Sonrisa de Tares 2022,Dominio de Tares,Bierzo (España),Godello,"12,0",No descuento,20,"4,7",7,Vino blanco
Dominio de Atauta Llanos del Almendro 2016,Dominio de Atauta,Ribera del Duero (España),Tempranillo,"99,4",No descuento,7,"4,5",2,Vino tinto
Mestres Coquet Gran Reserva Brut Nature 2018,Mestres,DO Cava (España),Xarel·lo/ Macabeo/ Parellada,"17,2",No descuento,11,"4,5",13,Cava
Pita Verderrubí Verdejo Ecológico 2022,Viñedos Verderrubí,Rueda (España),Verdejo,"8,4",No descuento,3,"4,5",2,Vino blanco
Villa Conchi Brut Rosé,Villa Conchi,DO Cava (España),Trepat,"9,5",No descuento,4,"3,6",5,Cava
Edulis Crianza 2019,Bodegas Altanza,Rioja (España),Tempranillo,"7,6",No descuento,30,"4,4",19,Vino tinto
Familia Valdelana Blanco Semidulce 2022,Bodegas Valdelana,Rioja (España),Malvasía/ Viura,"6,9",No descuento,4,"4,9",8,Vino semidulce
Pago Florentino 2020,Bodegas Arzuaga Navarro,Pago Florentino (España),Cencibel,"12,9",No descuento,20,"4,5",8,Vino tinto
Agnvs Tempranillo 2021,Bodegas Valdelana,Rioja (España),Tempranillo/ Graciano,"9,0",No descuento,5,"4,0",1,Vino tinto
Ramón Bilbao Verdejo 2022,Bodegas Ramón Bilbao,Rueda (España),Verdejo,"7,5",No descuento,9,"4,2",18,Vino blanco
Formiga de Vellut 2020,Domini de la Cartoixa,Priorat (España),Garnacha/ Cariñena/ Syrah,"17,8",No descuento,20,"4,5",13,Vino tinto
Fábregas Puro Syrah 2020,Bodegas Fábregas,Somontano (España),Syrah,"12,0",No descuento,2,"0,0",0,Vino tinto
Borsao Tinto Selección 2021,Bodegas Borsao,Campo de Borja (España),Garnacha/ Syrah/ Tempranillo,"5,0",No descuento,18,"4,1",24,Vino tinto
Campillo Gran Reserva 2014,Bodegas Campillo,Rioja (España),Tempranillo/ Graciano,"27,9",No descuento,3,"4,0",3,Vino tinto
Valtravieso Crianza 2020,Bodegas y Viñedos Valtravieso,Ribera del Duero (España),Tempranillo/ Cabernet sauvignon/ Merlot,"16,5",No descuento,29,"4,5",12,Vino tinto
Huguet Reserva Brut Nature 2016,Can Feixes,Corpinnat (España),Parellada/ Macabeo/ Pinot noir,"14,9",No descuento,13,"4,2",4,Cava
Finca San Martín 2019,Torre de Oña,Rioja (España),Tempranillo,"9,6",No descuento,24,"4,0",16,Vino tinto
Grillo 2014,El Grillo y la Luna,Somontano (España),Syrah/ Cabernet sauvignon/ Garnacha/ Merlot,"38,0",No descuento,8,"4,3",3,Vino tinto
San Román 2020,San Román Bodegas y Viñedos,Toro (España),Tinta de Toro,"32,1",No descuento,67,"4,6",32,Vino tinto
Hacienda López de Haro Reserva 2017,Hacienda López de Haro,Rioja (España),Tempranillo/ Graciano,"11,4",No descuento,35,"4,2",54,Vino tinto
